Fecha,Índice general,"1. Alimentos, bebidas y tabaco","1. Alimentos, bebidas y tabaco, 1.1. Alimentos",1.1.6. Frutas y hortalizas,046 Aguacate,047 Durazno,048 Guayaba,049 Limón,050 Manzana,051 Melón,052 Naranja,055 Papaya,056 Pera,057 Piña,058 Plátanos,059 Sandía,060 Uva,061 Calabacita,062 Cebolla,063 Chayote,064 Chile poblano,066 Chile serrano,068 Ejotes,071 Jitomate,072 Lechuga y col,073 Nopales,077 Papa y otros tubérculos,079 Pepino,080 Tomate verde,082 Zanahoria,065 Chile seco,069 Frijol
Sep-04,58.35969502,45.6495295,45.55249829,49.72613997,32.60313786,41.88113133,46.74620426,36.45626479,43.30647863,56.41883869,31.91923801,34.69397658,37.16491297,52.51738684,47.36855584,51.9583504,53.93545776,59.40834789,62.58809244,51.19520636,47.64561023,70.57677478,50.55060211,58.62117431,51.75251215,35.77851403,35.78054913,49.2062661,46.88841474,50.93656387,46.14890102,41.25019776
Oct-04,59.06088559,46.82609497,46.92639643,57.25958864,30.20331113,44.94473904,44.38321584,38.84300114,44.16218157,71.50214979,28.33267775,33.06320437,36.34147384,56.22759712,45.96948627,53.8254436,50.29538991,54.68774677,68.54409815,53.96285481,65.62713047,59.76800548,56.95674131,94.35829234,57.48737594,38.91625456,37.6904587,50.45940844,47.02020141,57.46178217,46.49339314,40.74709978
Nov-04,59.38105186,47.4077179,47.62473803,59.42385404,30.16854958,59.63916275,36.62572674,47.84688849,44.64036851,74.34251797,24.66426348,32.93308957,39.76734553,45.97894281,46.52991816,57.49688051,63.63651369,64.48508022,69.29245775,54.01546301,70.73812695,51.46711429,57.03384675,103.0209432,56.75083216,51.09246754,38.22879447,50.41010448,47.33806889,65.38272235,47.42444256,42.10771844
Dic 2004,59.72026934,48.04342652,48.1963628,59.48858144,29.42533478,56.7809282,41.90742145,55.86322591,42.90514317,73.42172065,22.89026909,35.21567499,36.42560858,37.58186841,44.35774204,61.31571951,80.3821772,70.99751305,72.90970662,48.24228556,84.43401631,50.11055615,53.11333154,101.2574345,53.99106957,56.3301818,37.00049866,47.35143283,56.10015507,65.2143033,47.68952503,42.75997131
Ene 2005,59.47789554,47.03597972,47.07749725,49.80135138,28.73266285,43.25178472,45.14435935,54.52484084,40.89981411,67.08123775,22.30021353,33.97607331,35.55891947,37.10008832,49.06914903,67.59244405,65.76254112,68.71022684,71.27140585,53.00046796,72.64307897,44.86705174,57.92443743,55.55807911,47.29361002,55.74612464,39.31694215,46.58448232,63.72502591,62.92811669,47.68952503,43.22853826
Feb-05,59.5488084,47.19985128,47.2481852,48.34999902,29.82200035,39.48661035,43.31749619,46.80193604,39.32817904,67.95253713,22.77749899,40.95105294,37.4196824,41.02852651,53.06574404,60.63376284,63.3879543,66.58387021,56.51977958,59.07957349,75.55128299,48.90891972,57.08084001,45.91016038,47.57912118,60.53012927,37.89807269,49.83854375,88.56163105,60.63785074,47.68952503,43.65442101
Mar-05,59.88537988,47.85453025,48.01168403,53.14848719,33.4502108,34.93342272,42.83480534,48.32952284,34.39755039,63.15394901,20.70376581,39.000157,39.57103115,40.7817611,51.85361911,55.18047731,57.30862592,87.69619249,51.88325003,63.68850873,80.10135801,75.21581965,81.18245023,65.46553736,38.21671231,49.21433525,31.92351945,57.75776422,104.7427639,53.48732573,47.68952503,43.84913767
Abr 2005,60.21824695,48.6718699,48.95306608,60.33003761,34.60693879,37.81814092,43.0829785,41.56055728,35.38403566,55.22749782,18.58527791,36.52467122,36.05832161,38.43463595,48.2208626,58.40201225,52.23656638,86.00717691,68.31522572,49.05885622,82.45886392,103.9120892,71.17562372,95.93404099,41.83086568,40.2830235,28.62221363,61.83264529,106.3873826,50.52046975,47.68952503,44.64622904
May-05,60.58445365,49.43956373,49.70457278,66.1732807,36.61329886,36.04823413,45.12239187,39.10244543,36.17996523,54.98882282,21.15190182,46.53359763,39.38147459,38.38998316,48.02145498,59.49716837,47.85178563,70.19510027,79.38679628,60.29413657,101.3195928,114.3560642,60.0770024,119.0738589,40.92772909,39.1938697,32.31614288,49.54180695,97.04385564,49.47790339,47.68952503,44.93974283
Jun-05,60.53682561,48.8381632,48.90509757,59.33314452,42.8392423,42.67214275,46.33060328,36.98459456,37.19835959,56.90974978,25.57260749,44.03498032,39.56494913,47.39003807,47.6093727,67.49595192,53.04595298,43.04940868,73.66338884,75.40526842,96.54733015,72.80062974,35.85174972,89.63444647,39.88799711,43.90518052,44.17413569,49.48885084,77.64702922,60.68563746,49.35137343,46.15216581
